doc,label,completion
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_81,,"<s><s> [/INST] elle ne poursuit pas, mais elle s’achèvement, se dirige vers le ciel et, tirant un objet rayant d’une ceinture colorée, elle frappe avec toute sa force une des barres qui séparent le couloir de la cellule de la peau du chien. Les ondes se propagent depuis plusieurs secondes. Toutes les femmes de ce quartier se détournent""]"
1895_Lermina-Jules_L-enigme.txt_chunk_11,," [/INST] un certain nombre d’exactions dont les objets avaient été divers : l’incendie, l’épiskey, le vol d’une bouteille de Champagne ou d’un vieux verre souvenir, la perquisition de certains meublés auxquels la loi permet de perquisitionner, mais dont on n’avait pas l’inspecteur, la confiscation d’un""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_120,,"<s> [/INST] il est attaqué par des bandits.  Des événements éclatants se déroulent au milieu du quartier du Temple : un cambiot est tiré de sa cabine, des intrigues de vol et de volonté de meurtre sont avivées, tous des membres d’un bande de malfrats, savant ou non. Chambras et Savinien décident de prendre l""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_169,,"<s><s> [/INST] i. Le texte décrit en détail un château abandonné en Gascogne sous le règne de Louis XIII, envahi par la végétation, avec des éléments architecturaux et naturels témoignant de sa gloire passée, reflétant une atmosphère de déclin, de solitude et de désolation.  Le marquis de Bruyères a trouvé un""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_351,," [/INST] Voici l'introduction d'un livre.  Continuez le texte en suivant sa structure et son style.  Le baron, qu'on nommait Signac, demeurait, depuis quelques années, dans une dépendance du château de Bruyères, à quelque trente-cinq lieues de Paris, à côté d'une grotte, au fond d'une forêt d'""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_66,," [/INST] Un livre se télécharge à Paris.  L'éditeur est mort.  Ce sont les deux premiers ouvrages de Lupin. Résumés\xa0:  Lupin, le jour où ce livre a été présenté, découvrait le corps sans tête de Mme Mergy.  M. Lenormand trouve plus qu'un livre dans l'étain dont on a parlé dans le roman\xa0""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_145,,"<s> [/INST] Le capitaine Nemo explique à un scientifique émerveillé les capacités du Nautilus et son origine reste inconnue. Après le naufrage des navires de La Pérouse, la présence d'un mystérieux sous-marin se fait sentir, avec une prison en mer et trois prisonniers et il est arrêté et remorqué dans un cage. Le capitaine""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_135,,"<s> [/INST] ce texte décrit trois amours. De l'une part, le duel entre l'héroïque capitaine et son ennemi dans le temps, avec le boulevard Barbare et la rue d'Italie, alors de la rue de Châtillon, et le troisième duel, plus glorieux encore, entre les deux amoureux, un autre capitaine, Chéri-Bibi, et""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_131,,"<s> [/INST] Les informations obtenues sur un mystérieux narval vont entretenir la controverse internationale et laisser l’esprit libre comme sur une vague immense. Avec l’agacement de son équipage, un navire est poursuivi par un narval géant électrique. L’expédition se fait capturer dans un sous-marin humanoïde. En apparence le capitaine Nemo""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_160,,"<s> [/INST] 2. La scène est située au centre des États-Unis, pendant une époque de proie et de représailles entre les Américains blancs venus de l’Europe et les indiens. Des Indiens s’approchent de la lisière du camp en pleurs et demandent que la veuve de Coeur-Loyal soit autorisée à entendre pénétrer son mari en dehors""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_125,," [/INST] Un jeune baron solitaire, dernier descendant d'une famille déchue, vit dans la solitude et la misère de son château délabré en Gascogne, sous le règne de Louis XIII. Les personnages solitaires et des animaux mystérieux qui peignent cet environnement sont témoins d'un événement étrange et mystérieux, dépeignant l""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_84,,"<s> [INST] 5. Vous enverrez une lettre à m. Kesselbach. 6. Après ce souvenir que vous aurez établi, vous rencontrerez un personnage de notoriété. Ce personnage revienra plusieurs fois dans le cours du récit, et son évolution intéresse les auteurs. Il n’est pas un personnage secondaire. Un passage de narratif est consacré""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_210,,"<s> [INST] Que pensez-vous des préférés de vos lecteurs ?\n [/INST] Je ne peux pas dire tout ce que je pense, mais je puis vous dire qu'il y a quelques préférés dont je n'ai pas d'espoir. Mais, de toute façon, ce n'est pas à moi de se trouver entouré de lecteurs, pour autant que je suis""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_12,,"<s> [/INST] a. Pourtant, d’un œil pénétrant, pourtant, j’ai vu le vol du petit bonhomme d’or de cette robe de feuilles émeraldées, vol qui fut si brusque, si fort, que le cœur mourut à peine ; j’ai vu dans la chambre voisine une dame de tête écrasée de tristesse ;""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_103,,"<s> [/INST] Le texte décrit en détail un château abandonné en Gascogne, dans le règne de Louis XIII. Les éléments architecturaux et naturels du château témoignent de sa gloire passée, il est envahi par la végétation. Un jeune baron solitaire et mélancolique vit dans la misère et l'isolement de son château délabré""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_135,," [INST] These sont les premières lignes d'un écrit. poursuit le résumé étant donné. 11.  Avec brio, il s’effaça derrière sa table et, se tournant vers le magistrat, de son ton de commandant dont il se dépouillait, disait :  —\xa0Et les autres ?  —\xa0Ils sont bien, oui. N’y""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_49,,"<s><s> [/INST] , dit Juliette, qui, tout comme le sieur le Président du Conseil d’État, paraissait être le juge impartiel du bonheur, parle donc ce qui se passera. On a été élu, reprit Pierre. C’est un peu fort, ne t’es-tu-en rendu compte ?…  — Il m’eût bien plu que vous ne parlie""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_163,,"<s> [INST] Avec qui vous avez fait des projets pour cette histoire ? Ça m’est devenu impossible… Dans notre entreprise, nous prenoient des projets qui prennent du retard. Ma petite compagne, il fait quelques mois qu’elle est malade dans une maison de soin, il vaudrait mieux ne pas mettre la place en danger dans un état de santé. ""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_68,,"cli. Ce qui t'est fait à ta place. Si tu avais été la, tout y est fini. À travers la vapeur du brouillard, on peut distinguer un lointain son de clameur de femme. Des répétitions se font entendre avec de la violence, qui deviennent de plus en plus vives, à mesure que les personnes atteignent la villa d'Urban à""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_125,,"<s> [/INST] Ce texte reconstitue une partie d'un roman. Il décrit à la fois le contexte historique et social d'une région, avec des personnages tels que l'Américain Coeur-Loyal, le Comanche et les bandits d'alliance. En dépit de tous les risques et dangers, ils poursuivent leur queste et leur vengeance, avec des épis""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_120,,"<s><s> [/INST] . Et quelle fut la dernière, la plus terrible révélation que ce pauvre homme fit à Mme Gerdy, pour lui apprendre la vérité de sa naissance ? il se décida en donner l’enquête judiciaire comme unique médium du récit. quoiqu’il se présentât à M. Tabarat, qu’il lui racontât l’intense émotion""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_42,,"<s><s> [/INST] tation par la disparition et le meurtre de la veuve Lerouge, des enquêtes se poursuivent, mais les rumeurs dérivent et les témoignages sont confus ; un enfant témoigne de sa présence à un meurtre presque clairvoyé. Cet enfant est le personnage auquel le père Tabaret joue le rôle ;""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_92,," [/INST] —\xa0Je te promets, monsieur, j’ai fait mon devoir en menaçant sairmeuse. je veux dire que, avant de lui dire le sort que je lui prévois, je lui menaçai.  — je veux bien, répit albert. Il va falloir nous aimer de plus en plus, monsieur.  C’est-à-dire que le visage du la""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_161,,"<s> [/INST] . 29, 30 et 31, le moment venu, il ne vous reste qu’à poursuivre votre action. À mes yeux, votre élection dépend de la bonne opinion que mon fils renferme de moi, et il est assez naturel d’espérer que c’est dans l’avenir que nous aurons l’occasion de parler. j""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_39,," [INST] ET SOUS TA CONNAÎSSANCE DE LA MORALE, RHEA CHAIGUE DÉLA CHOISISSE ET SEQUENCIENT DES CRIMES, EN OUEIL ET EN ŒU, PARMIS LE CONFLIT DE SA VIE, CONFORM À SON DEGRADE. 3  Les plus gros domestiques du 1er, du 12è et""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_15,,"<s><s> [/INST] on de ce résumé, je me demande ce que les lecteurs n’auront pas compris. Un résumé de «\xa0Quelque chose\xa0» parait difficilement applicable à la vie quotidienne, car il est rare, et encore fréquent de voir en littérature quelques bons résumés, des synopsis et autres petites paroles d’arrêt qui n’hésitent""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_48,,"<s> [/INST] La comédienne était une fille de campagne au long de la robe blanche.  –\xa0Depuis ce moment-là, elle se rencontrait avec son maître dans l’atelier de sculpteur du château, où il s’assurait qu’avec elle seul son travail serait rempli avec succès. Il fut bien heureux et il ne doutait pas que le destin""]"
