doc,label,completion
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_81,,"res : hommes qui avaient une allure menaçante, le nez pâle et l’expression sombre des hommes du pays de l’Ouest. Le jeune homme s’éloigna à l’instant pour ramener ses chevaux, à la peine de faire une marche précipitée, sur un point d’overss, et pour prendre à l’un et à l’autre des positions d’app""]"
1895_Lermina-Jules_L-enigme.txt_chunk_11,,"<s> [/INST] le général ne pouvait être qu’un étranger, il était de la race bourgeoise, d’une de ces familles, pour lesquelles le commerce des navires, les voiles de mer et les armes des colonies sont des articles de base. les plus sérieux et les plus considérables d’entre eux, qui peuvent être considérés comme le premier moyen d’enseignement auquel un""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_120,,"<s> [/INST] La scène se déroule au quartier du temple de Paris. Marcel de Colorado est arrêté en compagnie de Dominique, Savinien, Cécilé et des personnes inconnues dont on voit peu. Le récit suit la narration de madame de Gondo, qui reçoit Savinien, et ses nouveaux invités, qui se rapprochent de elle en montrant des documents.""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_169,,"fas: un capitaine et un noble marquée d’une lettre roque une alliance, puis, un soir, le capitaine est condamné à coups de bâton. un jeune baron se débauche sur les rues en compagnie de comédiens. monsieur de b…, une des personnes entités de la maison de lointains, est en compagnie des jaloux de sa maîtres""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_351,,"riel, c’est à dire, que si un jour, lors d'un chantage qui mettra bientôt le château à feu, tout sera fait pour le sauver… C’est le beau, monsieur du Plessis, qui m’a dit tout cela en me disant que la vie n'est pas une chanson. [/INST] Deux personnes se rencontrent dans une rue de Paris. Le premier, un""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_66,,"<s> [/INST] , cette voix harmonieuse... Mademoiselle Schmidt... la veuve Lerouge...</s>""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_145,,"<s> [/INST] Après avoir voyagé sous la mer d'Oman sans découvrir le golfe Persique et pas même la mer rouge, le capitaine Nemo propose à l'équipage du Nautilus de se rendre en Europe. Arrivé au bord de la mer d'Oman, il décide de l'explorer à fond et sur la surface en préparation aux différents projets de futur que le""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_135,,"<s> [INST] CI-DES COMMENTAIRIES N'ONT RIEN DE RIMANT, MAIS CELUI-CI REVÊLE UN ÉVÉNÉMENT SURVENU AU CHÂTEAU. C'EST UN BON PAS DE PEUT-ÊTRE. QU'EST-CE QUE VOIE VENTRE TU ? LE GENTEMENT S'EMPREINTE DE LA CO""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_131,,"<s> [INST] AIENT CES VIRAGES BEAUCHES ? AIENT CES LIGNES BEAUCHES ? LE VIEUX CAPITAINE VIDERA SON MASSAIRE, M'EMMAISERA POUR FUIR AVEC SON NAUFRAGE, LE NAUFRAGE DU CAPTAINE VAUDAUD, LE CAPTAINE VAUDAUD, LA""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_160,,"<s> [/INST] La région de la Sonora vit son passé colonial se transformer en conflits de pouvoir, de vengeance et de justice avec des confrérie de pirates. Le chasseur Coeur-Loyal et l’homme qui se venge, Belhumeur, poursuivent un homme qui déserte toute société pour se cacher dans ce pays sauvage. A La lutte pour prendre le""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_125,,"<s> [/INST] le temps où j’avais du talent, mais j’avais du ventre, chose ridicule en mon emploi. Je me trouvai le nez dans la neige, élevé au sein d’une troupe de comédiens et du château de la Chère-Marie, en bon train d’être décidé à changer une vie de misère et d’isolement pour une vie d’ent""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_84,,"ra une lettre de malice rédigée pour le docteur Plemen ; une lettre écrite pour la petite Félicité, la fille de la mort, qui, n’ayant pas eu l’heureuse joie de connaître les tendresses inaccèsibles de sa mère ; la lettre adressée au baron de Gaulle, qui, tout égaré encore par la perte de son élix""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_210,,"<s> [/INST] Le roman ne semble pas s'intéresser de cette vie de familles, que l'on vit péniblement pâlir à travers les aventures personnelles et les dramatismes de quelques personnages. Les témoignages divergent dévorent tous le mystère qui entraîne le dévoulement d'une jeune fille, les sospitions s'élanc""]"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_12,,"<s> [/INST] Le retour du fils d’Antoine de Peyrolles dans la ville de Guastalla, dans la cour du duc mourant, et les différents individus qui s’en étaient intéressé pour un héritage douteux, avec un traité d’alliance et l’annulation de celui-ci, tout cela est décrit en une scène qui, par sa vitesse et sa rapidité,""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_103,,"<s> [/INST] l’étonnement et le chagrin de la comédienne se réunissaient dans un doute malassuré. Isolée enfin par son malheur sur ses passions, elle cherchait à savoir les projets d’O’Brien vers elle. Il l’eût volontairement trompée pour réparer les vices qu’il lui attribua ? Elle se sent""]"
