doc,label,completion
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_81,,"eux. « Que deviennent-ils ? — Ah pauvre don josé ! et quelle terrible et étrange vengeance a cette fois l’officiant de la justice militaire. — qui peut l’officiant de la justice militaire ? le général. — Ah pauvre don josé ! — qui est-ce ? — c’est sans-traces. — que veut-il ? — il veut se""]"
1895_Lermina-Jules_L-enigme.txt_chunk_11,,"<s> [/INST] à sa femme, les défauts desquels dénonçaient le malheur à lequel elle était exposée. — Pendant plus de dix ans Marie était restée au château de La Chapelle. — Elle s’établit à Paris au mois de juillet. — Dès sa résidence à Verrières, son sort avait été le sujet d’un curieux entretien. — Pendant cinq mois les mal""]"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_120,,"le, et reprit chambras. — en vous faisant appeler comme vous j’aviez convené, il y avait d’autres intérêts. — oh ! c’est clair, dit le marquis, qui me dit toujours ce qu’il veut.  — mais le jeune homme qu’ils avaient fait démissionner, répondit fredric, savinien ! — c’est un misérable d’""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_169,,"lois est [/INST] venu me prendre à ma table pour lancer ma carabine.  — Que dis-je ?... le caravane serait le carrel de quelque baladin ?... Il faut remettre l’honneur sur sa place.  — Vous avez raison... Il n’y a que des voleurs là... mais une troupe célèbre, et dont le fameux capitaine Fracasse""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_351,,"Et un baron qui, en voyant entrer un voyageur à son manoir, s’empara de son manteau pour éponger en silence ses coups de vis. « Ce jeune homme-là, pensa-t-il, est pourvu de deux millions de livres, et, moi, je ne le puis le plus je ne m’en suis pas vivement déchiré. — Et parfois""]"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_66,,"<s> [/INST] Lorsque le lieutenant d’Amrigny se promène seul au jardin de la villa Montébello, il tombe à genoux près d’un aboûteau en faisant la salut à une jeune femme que l’on aurait pensé jeter à ses genoux. Le malheureux Amrigny n’a jamais vu une femme comme celle-ci. Il se regarde si""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_145,,"<s> [/INST] Des scientifiques se disputent sur la présence d'un monstre marin géant, et remportent une controverse internationale qui affecte la société savante. Le professeur et son équipage partent pour traquer ce monstre marin à bord de l [/INST] ’Abraham-Lincoln, mais ne trouvent rien. La discussion s’intensifie et le professeur décide de""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_135,,"<s> [/INST] Le texte décrit la vie d'un château délabré en Gascogne sous le règne de Louis XIII. Des éléments architecturaux et naturels témoignent de son âge, et il est rempli de solitude dans lequel les animaux mystérieux courent, le soir, mais parmi les ruines le sol est humide, et les espèces de bû""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_131,," [/INST] [/INST] Le voyage submergé de Nemo s'est fait sur l'île de Ceylan, sur le théâtre des luttes des baleines d'hydromeutes, et sur les baleines bleues qui vivent, partout, sur les rochers. L'île de Ceylan est connue du monde entier pour la lucrative exploitation du perle et des trésors""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_160,,"<s><s><s><s><s><s><s><s> [/INST] un extrait qui décrit le contexte historique et social de la région de la Sonora en Amérique du Sud. Affichage de la conflagration que le village a brûlé pendant la nuit. Chaque matin, le village est en feu. Le volcan des Andes était ébranlé par une boume-lée dont des bouffees de poussi""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_125,,"riel dans le château délabré d'un baron solitaire, et qu'il se rend compte qu'il ne peut y vivre seul. Il décide alors d'aller joindre une troupe de comédiens ambulants se déplaçant en Gascogne, pourquoi pas pour reprendre ses goûts dans la vie, et quitter sa richesse morosse et sa pénurie. Cette""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_84,,"riel s’écria : mon Dieu, s’il en est ainsi ! je ne peux être heureux de plus ! [/INST] Après quelques soins, Mme de la Mole et Mme de Nevers sortirent du cabinet de plein air, et la malade apprit ce qui avait lieu à Verrières. « Quel malheur de ce monde ! reprit Mme de la Mole, en partant, elle n""]"
