doc;completion_gold
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_1;La situation devient incontrôlable et une foule dans la rue attaque les soldats espagnols. Les soldats tirent et un véritable chaos s'ensuit, faisant des centaines de morts. L'histoire commence à suivre un héros solitaire dans la foule.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_2;Cornejo prend le jeune garçon au lasso et la foule applaudit à tout rompre. Les soldats espagnols le prennent pour le chef de la foule et le capturent. Cornejo est emmené en prison, innocent.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_3;Les recherches pour retrouver Rafael commencent, mais il est introuvable.  Le juge lance un mandat d'arrêt. Rafael se cache parmi les habitants et commet parfois des crimes, mais il n'est pas arrêté immédiatement.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_4;L'histoire se déroule dans L'hacienda del milagro, où le juge et ses compagnons partent à la recherche de Rafael. L'hacienda del milagro est décrite comme un endroit sec et aride habité par une variété de personnes dangereuses et étranges.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_5;Dans le bâtiment principal, le juge et ses compagnons de voyage cherchent le directeur de l'hacienda del Milagro. Ils lui demandent de les aider à retrouver Rafael et il leur donne un indice utile.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_19;L'histoire présente enfin les trappeurs de l'Arkansas, la population locale, en racontant comment ils sont liés à la disparition de Rafael. Nous sommes dans la prairie, loin des villes, où les dangers sont nombreux.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_20;Ce cow-boy solitaire retrouve les héros précédents et les aide à rechercher Rafael dans l'environnement hostile des prairies. Il est habile et connaît les coutumes des habitants.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_21;Un autre personnage est également chasseur, bien que beaucoup plus faible, et il apporte des nouvelles. En aval, il a vu des traces de massacre. Les chasseurs décident de changer d'itinéraire. 
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_30;Un véritable suspense commence lorsque les chasseurs repèrent les Comanches et s'approchent d'eux dans l'obscurité de la nuit. Ils sont rattrapés et faits prisonniers.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_31;Les voyageurs défont leurs affaires à côté du fleuve : les mules sont mises de côtés tandis que les guides se réunissent à part. Un camp pour passer la nuit est monté. Les trappeur qui voient le camp se monter viennent à leur rencontre
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_40;Les guerriers ont mis le feu à la forêt, les chasseurs sont au milieu. La forêt brûle et la situation semble menaçante, mais Coeur-Loyal parvient à se sauver et à sauver ses compagnons en sautant dans une petite rivière au milieu de la forêt. Le chef est furieux.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_41;Alors que la brise tombe, les flammes perdent en puissance. Les personnages regagnent progressivement leur calme et constatent l'ampleur des dégâts : on découvre de nombreux cadavres calcinés. Les personnages s'empressent de donner les premiers soins à ceux qui ont été blessés.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_48;Le capitaine laisse le vieux chasseur en vie et ils poursuivent leur combat contre les Comanches. La bataille est féroce, de nombreux soldats sont tués, mais au dernier moment, les Mexicains se précipitent à la rescousse et le capitaine survit.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_49;Après la première mutilation, le métis cherche à se soustraire de l'emprise de l'Américain, sans succès. La mise à mort du métis est contenue mais est interrompue par les autres événements : le feu et les combats adjacents empêchent l'Américain de continuer.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_50;Tête-d'Aigle sauve la vie du vieil homme et lui demande d'envoyer la menace à la sienne. La situation se calme, les troupes se rassemblent et soignent les blessés.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_75;Doña Luz et le trappeur s'éloignent, l'un d'eux se retrouve bientôt en difficulté et les mots 'l'élan-Noir, l'heure sonne' font leur preuve.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_76;Le trappeur montre son extrême connaissance des castors et explique à la jeune femme comment les attraper. La femme loue les prouesses de l'homme.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_77;Ils continuent à observer les castors. Le trappeur montre son extrême connaissance des castors et explique à la jeune femme comment les attraper.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_100;Avant d'achever la femme sur le bûcher, Tête d'Aigle vient l'interroger pour connaître la volonté et la force de la femme. La femme affirme qu'elle ne s'abaissera pas à échanger.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_109;Le blessé, dans son dernier souffle, raconte au capitaine qui l'avait assassiné. Le capitaine  a été surpris par le nom donné. Cependant, froid et calculateur, il planifie sa vengeance
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_110;Les bandits se sont dormis, mais le capitaine a resté réveillé, il réflechissait à l'information donnée par celui qui vient de mourir. Le capitaine a révisé ses plans desormais qu'il s'est aperçu que ses projets sont un peu plus complexes que prévu.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_114;Le capitaine se bat contre les pirates. Les cris du capitaine alertent ses amis qui se réveillent pour le secourir. Les pirates sont vaincus. 
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_115;Le médecin continue son opération de classement des herbes. Après avoir eu tous les recettes, l'Élan-Noir a décidé de lui tuer. Par la suite, il vole les recettes et a pris fuite dans la jungle.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_123;Après la retraite, les pirates assiégèrent le camp mexicain espérant les affamer. Des renforts arrivèrent à la rescousse des Mexicains et une lutte s'ensuivit. Les pirates finissent par fuir.
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_124;pour se venger, les pirates ont décidé d'attaquer les Mexicains. Ils ont mis en place des plans stratégiques pour tuer le maximum d'hommes surtout après leur perte dramatique
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_14;Le baron s'adresse à l'homme qui s'est présenté à la porte. D'abord méfiant et inquiet, il écoute l'homme qui se présente à lui. Ce dernier lui annonce qu'il a une mission importante à lui confier, dont dépend le sort de toute la région.
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_25;Sigognac pense à sa vie et à sa famille jusqu'à ce qu'il s'endorme. Le lendemain matin, toute la compagnie se réveille avec une surprise. Isabelle n'est pas là !
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_58;Le combat continue. Finalement, Sigognac l'emporte sur Agostin, mais ne le tue pas. Il le ligote et décide de l'emmener au village le plus proche pour le remettre aux autorités.
