doc,label_mixtral,label_human
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_0,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_1,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_2,EXPLORATION,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_3,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_4,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_5,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_6,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_7,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_8,EXPLORATION,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_9,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_10,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_11,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_12,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_13,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_14,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_15,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_16,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_17,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_18,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_19,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_20,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_21,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_22,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_23,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_24,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_25,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_26,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_27,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_28,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_29,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_30,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_31,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_32,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_33,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_34,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_35,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_36,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_37,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_38,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_39,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_40,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_41,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_42,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_43,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_44,DANGER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_45,DANGER,DANGER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_46,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_47,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_48,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_49,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_50,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_51,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_52,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_53,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_54,OTHER,OTHER
