doc,label_mistral,label_human,label_mixtral
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_0,EXPLORATION,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_1,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_2,OTHER,OTHER,EXPLORATION
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_3,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_4,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_5,DANGER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_6,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_7,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_8,EXPLORATION,OTHER,EXPLORATION
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_9,EXPLORATION,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_10,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_11,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_12,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_13,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_14,EXPLORATION,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_15,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_16,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_17,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_18,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_19,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_20,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_21,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_22,OTHER,OTHER,OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_23,OTHER,OTHER,OTHER
