doc	label_net
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_0	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_1	EXPLORE
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_2	DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_3	DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_4	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_5	EXPLORE
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_6	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_7	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_8	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_9	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_10	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_11	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_12	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_13	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_14	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_15	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_16	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_17	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_18	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_19	EXPLORE
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_20	EXPLORE
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_21	EXPLORE
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_22	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_23	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_24	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_25	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_26	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_27	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_28	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_29	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_30	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_31	DANGER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_32	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_33	OTHER
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_34	OTHER
