doc,completion
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_50,"]</s>gie en question. Ils eurent peut-être à régler ce dernier malheureux incident un jour encore avant de partir au large. Cette fois le docteur rassembla ses équipages auxquels arrivèrent successivement dix gens chargés des magasineries. Le contrebandiers, après avoir placé les provisions dans deux caisses métalliques transportées sous compartiment par deux hommes forts et entendants car leurs""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_39,"]</s>pan ouverte vers le grand boulevard MG . Puis Jaspin est retempre à son travail à la Grande Épicerie Moderne, située plus haut que chez lui sur la chaîne, sur la rue Fontenoile de Dugasting. Pour venir de son magasin, celui que Johnny venait de braxer dans son souvenir et non dans la crédibilité, il a fallu chercher deux petits escaliers""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_26,"]</s>elevateur finançée depuis le commencement de l’expédition… C’est à la porte de cabine amérindienne dans cette grande maison colonialiale du Quijote, enclavé non loin de la place du Roi, que je viens de donner rendez-vous ; celui que vous connaissez. La vente a été bonne. Ils ont demandé quatre cent mille dollar . Il y en avait qu""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_31,"]</s>aille lente pour porter les bagages aux mules. Là là, il les y ajoutera aussi, peut-être un couple ou deux indians qui viendront prendre la messe matinale chez ce monstre que cesse de payer toute la population dont il tire des revenus immémoriaux... Dehors, rizer pour rizer, il commence sa course rapide et fort contre le cercle couchant, que remplit encore l""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_4,"]</s>�\xa0« Après ces paroles profondement marquantes pour celui que Norbert-Planes avait écoutées pendant vingt ans et jusqu’à l’horizon du futur, elle se fit face vers la loge de Chéri-Bibi. Elle resta longtemps silencieuse avant que Mina n’aisse prononcer\xa0:   »\xa0Cette annonce est trop belle qu’une seule femme puisse']"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_50,"]</s><s> [/INST] Trente personnes, dont douze femmes, furent attachées le jour même à la corde de la potence et à celle d’autres édéfiches, qui fut battante pendant plusieurs siècles après cela… Et ainsi de prime abord, le résultat de tous ces événements, commis peu après la conquête française de New York , était en quelques généractions le départ considérable de toute la population angl""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_59,"]</s>Étyl était bien désabusé du nouveau rôle assigné à Daubrecq ; la vérité, comme lui le confia à Saussure, serait assez simple à mettre sur le seuil des lois. Mais Daubrecq ne donnait rien de positive à ses observations récurrentes. Il allait bien être bien dur à arranger quand ce drôle de type qui revendica toutes les façons d'instabil""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_58,"]</s>loique que soya le monstron de l’appel ! » Dans tous les périmètres, les travailleurs, surpris de voir deux barons s’affronter devant la corde rouge, arrêtassent sans enthousiasme ; il est déjà tard et le voyage doit être interrompu\xa0… Tout naturellement ces hommes se disent, certains lentembois étroits qui vont dur""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_21,"]</s><s> [/INST] Le paysan cherche un moyen de tuer M.\xa0Sapounin\xa0! Le meurtre de M. Sapouninsky a rencontré tout le monde pour faire l`histoire française et comme nouvelle locale… Plus fort, ou encore plus fortresse, on voit là deux cents soldats commandés par Monsieur Rusting et d´Armoun. Moult bon et bien conçu du reste , ces hommes""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_41,"]</s>agration de vives combinaisons moral, des confrontations dramaticules pour la vie de personnes différentes et destinées diverses en dehors, de rencontres brutales entre personnes d´obœdeaux distincts : les Indiens, la police militaire espagnole présente au Fort Saint-Étiënnne (Texas). Ce livre permet néanmoins de réaliser toute l’importance, le vaste spectacle,""]"
