doc,completion
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_105,"]</s>fasize{background: lightgray}\xa0» Cependant je ne serait pas là. Elle nautifice. J’essaye souvent de lui soutenir la conversation pour calmer l’émotion dont elle tressaillit mais son attention dérivait trop largement sous plusieurs idées. Mon frère enfin se prit à me plaisanter en tant qu’on est arrivants pour dévaliser, etc… Il en mange de bonne""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_50,"]</s><s> [/INST] À peine un an après ce voyage, cet avise explorateur finit victima. Lorsqu’il revenait aux Açores ouvrir, le premier janvier soit, pour transiger avec ses clients en préparation de cette traversée importante, la terre tournant dans ses bras depuis dix années de trop douta encore une fois du chemin du marchand d’épices ! Ne l’admit, il revient""]"
1895_Lermina-Jules_L-enigme.txt_chunk_1,]</s><s> [/INST] . Et pourquoi avez-yous jamais pensé l’attendre ou voir dix belles sages attentivs sèmer encore leur sève dans des joues impuentes dès l’envie d’un garçon comme onctuousement aimable… Votre père venait donc de mourir quand vous rentrait de Paris pour prendre vos classes… Elle n’épargna jamais']
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_189,"]</s><s> [/INST] Dans cette dernière suite, nous poursuivrons la fortune de Sigognac, après le massacre duquel nous aurons vu de ses tentatives héroïques contre son manque incurable d’imagination dramatique, la première grande erreure, jusqu’à une fin qui ne peut être autre : dans cette rue, Mettez lupins naguere a vu quelque chose de rouge se couler sous les gr""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_63,"]</s><s> [/INST] Là, voici son destin (Chap.) , dit-il à Johnny. Même jour, le marchand de potager en charge du chien fou était le docteur Nargueville qu’il connaissait maintenant aussi bien que son complice, celui que Chéri-Bibi déconsectable, cher Rob-ben. Ces deux hommes étaient absintédisés, ce soir à ce chaud en""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_5,"]</s>e, Philadelphe \xa0! je me rappelle votre amoire avec moîe mère ; je vais m’expliquer ce môme, et j’y arriverai… Elle eut juste le temps de regarder longtemps son mari sans prononcer un mot : il eut le sentiment d’être détruit entre deux obstacles ; dudessus, elle alluma le bénincite avec de force ;']"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_56,"]</s>rônt en lévitation, avec le petit avouc à la main, entre un grand frimoisier nocturne noir et rouge brillants et l'intérieur brûlant au bout du plafond... Ils se rendirent ensuite face à moi, et ce fut presque pareillables mes deux coups d'escanime. Nos regards appartenèrent. Que nous devins, que devina nous\xa0? Il""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_110,"]</s><s> [/INST] Les raisons du capitaine de s'accoupler sous le pont des canonnières le fascinent. Ils passent à portée de l'angle de recul de mes éyes. Soudain nous sentons notre navire secoué par un ébranlement assez violent pour faire trembler claquements nos barques ménagères. Ces mouvements violents serrèrent tout fortement le bras tendu""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_21,"]</s><s> [/INST] Après avoir examiné les pierreries, Mme Hilaire retourna son attention vers ses amies au château La Bruyère où Lydie arrivaient hors d’une fenesterie du vestibule. Tous ont été agasser les hôtes du petit étage parce que Lydie portait à la taille, derrière un guapé de soie blanche : elle annonce donc le début des mari""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_166,"]</s><s><s> [/INST.] Après avoir commencé par de confuetioles sur le plan culinaire à l’addresse des petits malins mis au fond du coffiot (et qui, eux, ne trouvent que à mourir le temps) pour reprendre aussitôt ses lectures à ses deux ou trois livres favorites… Johnny voit bientôt apparvoir devant lui plusieurs nouvelles paires de moccats : celui du""]"
