doc,completion
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_105,"]</s><s> [/INST] Dans cette rue, une petite maison, d’abord silencieuse et fermée, va devenir au contraire le rendez-vous favorite de Vermalien, avant tout enfin si des affaires graves y remettent la main. Tout sera dit ; toute sera expliqué ; cependant, quand il arrive le temps du jugement, Dieu m’excusera donc de ma faiblesse dans""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_50,"es.[/INST]</s><s> [INST] Mais cette fois-ci , malgré ce succès relancé, la controverse s\'étend à travers l\'Europe et a fini par aller tant soit peu aussi loin qu\'en Sibèrie\xa0:"",« où le professor a été arrêté sous son nom français, Jean Aronnux et emporté aux îles Mariana (en) par des Français encore trop forts doutaients de ses théories']"
1895_Lermina-Jules_L-enigme.txt_chunk_1,"]</s><s><s>”) (à savoir: ""Voyez une lettre"") et je ne comprends qu\'asseur, et comment, avec un regard tel qu’un serpent, je lui remords, après dix minutes de visite entre deux cors, ma voluptueuse folie qui était montante dans mes instincts et m\'engagerait là. aujourd’hui, pendant cent lieues avec la veuve, où je serais heure']"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_189,"]</s>rès de mes jours à mien frictionnageuses aux rendiments de mon ciel, aux impressions de plaisantes suggestions amoureuses, puis encore et surtout, quand ils tournaient autour de vous ... Quoi ! ... Mademoiselle ,... vous ne comptez-vue rien sur moi ? Nous allions pouvoir, euh, nous y aller si j’allais vous raconter mon grand jeûne car,""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_63,"]</s>riefs de nos comédiens, on vit déjà sa visibilité à l’heure des matines. Elle y gira une tête par jour, comme deux heures d’orage pour six heures de soleil dans une année. Cette douce chose, je te dirai donc sans craindre l’honneur de ma lecture. Les gens ont tant besoin de gêner quelque veulent ! Il a longtemps être dit que si""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_5,"]</s>fas à Philadelphie , où sa famille habite encore ; car elle me semble avoir remonté aux États-Unis sur le navire où vous partiriez : . , l’asile de jeune orpheline qui voulait te souvenir sur les heures heureuses jusqu’au premier instant où on vint raconter à mon père que vos parents étaient passés. jones, josie, et madam johnson']"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_56,"]</s><s><s> [INST] À bord du capitaine Pamphile, nous continuons notre enquête quotidienne\xa0; nous avons rétabli au fond de nos informations, le nom et l´existence d`un meurtrier habitant encore vers Paris. Un autre meurtre dev [/ INST] riet intervenue si, pendant quelques heures, rien, fût donc à nu dire moins que se trouvait au-dess""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_110,"]</s> [/INST] dans le courant des événements raconté dans ce chapitre\xa0: vous avez vu que nous aurions terminé un tour en un an contre ce que vous n’avex peut-être everté sur cinq ans, dans votre navigation ou celle de venezuela de la mer\xa0! Je parier 10\xa0rupes que ma petite épouse va commencer de manger à grand faire\xa0; la nouvelle sera bon pour""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_21,"]</s><s> [/INST] En conséquence de ces observations diverses, nous voyons l’officier et quelques passagers accompagné d’un petit baril chargé de sel de terre quitter aussitôt le brick , au désespoir des dernières pêcheurs espagnols à bord de L´Esplamado Trapero quitta la côte. Au lieu des deux cents baisser de peubles du prêt du""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_166,"]</s>en continuait ensuite la route de Nautilus sur le golfe de Gascogne (Rosez).Il approcha la rive occidentale, près de Varennes. A l'instar des trois montagnas qui, selon la légende, prophétisaient les naissances de Louis XV, six petites îles se dressèrent en même temps autour du port de Rosez.L'évocatrice vue de tout,""]"
