doc,completion
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_105,"]</s>kladskaya — Achevé, dit le comte à demidiurée ! — Jais maman ... tu dis assez fort, mon Dieu ! Il s’aperçuit avec surprise du style parlant de Henri et s’impatiente de lui répondre à cause des attens ! qui ont lieu... — Taisez-vous, François ! tu perdes ma chance ... Natașa revendetta i ne riscuveva""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_50,"]</s><s>> ]. Il conclut par ajouter : « Voici le livre de route, mes cartes pour guider le chemin ,la carte marine depuis cinq cents ans et ma théorie de ses mouvements généraux.  Cette foule d’instruments peut donner de nouvelles connaissances au monde maritime , je crois aussi , par cette observation . Je serus bien effrayé de finir ainsi dix pages ecrit""]"
1895_Lermina-Jules_L-enigme.txt_chunk_1,"]</s><s><s><s><s><s><s><s><s><s><s><s>q est-ce l’habitude même que de mettre à profond le lit chaque matin avant noon ? est ceci trop bien, ceci très heureux !… Alors par chance [/INST] , lors de l’attaque où j’heurtois crassadella dans le Palais Royal ce jour de midi… C’ [/INST] amere époque ! et']"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_189,"]</s><s><s><s><s><s> [/INST] ainé , après avoir lu Mme de La Mole\xa0:  Il va partir, dit le chevalier, nous allons aller le retrouver au Bois, au rendez-vous des loctions. Alors lis dirent un second salmo par ce nouveau commandant\xa0; Mlle de Benozan fronde toute la place vers Mlle Dervilly. Une menace profonde mit fin au dialogue.""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_63,"]</s>iresse\xa0? Mme Croyait, après sept ans de folie, devint belle\xa0: on voyait encore toute une foule de rienne sur elle, ce matin qui fit une dizaine de degrés jusqu’à sept-lieux avec des cramoiselle grammoyeu; les cheveliers de France allaient, dans ces temps où nous savions quel être attendait nous aussi comme l’idole de nos adors , lui""]"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_5,"]</s> Gruya une échaufe ; — un homme grave ; — c’est madame Deux Cents Francs, je crois bien assez ;— non, mon ami, me reprit Monsieur Raton . Avez vous, ainsi, sans doute rendu enragé ; car, monsieur , vous avez beaucoup le langage d’hommes aux cheveaux hauts. Je dirais un autre homme … — Ah ,']"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_56,"]</s><s> [/INST] La fin de la partie détruisit toute trace des intérêts passagers\xa0! Il fit deux voyages.Le baron Togni reçut ses petits enfans, et ils commenc [LE CHANTE COCCETTA](LE LIBOULD) FRENCH MANUSCRIPT.I ÉSMAMELI LA LUZARNA DE MA DE BATISCOFFE  PAR""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_110,"]</s>OBSÉRANOUS PRIN CIRCUMNAVIGATTES , ET J’Y CONFIMERAI PEU DE TAUTES VIEILLISSENCES, PARTIAGEANTEMENT SES DIVINS RAFFRACTEMENTS .Dites ... Flaques , hottentots etc. ..– Il y a donc beaucoup d’incertitude dans mes rapports , répondis-je , ce do""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_21,"]</s><s><s> [/INST] il n’attaqueit plus. A bord de l’ Abroham Lincoln, l’Homme de L… voit parvenir des messages incertains; quand, pour mieux comprendre cet incipient monstre, il appelle une congrégation à bord depuis une grande partie de janvier 1808 à mars en avril 1847 . Pendant ce temps, Mlle Raspe et Monsieur D""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_166,"]</s><s> [INROUVEMENT] Dans la soirée le marquis montre d’abord quelques choses d’Italie. Il dit comment on trouve de petites figures marquées et creuses au-delà et dans les cavités des basaltes d’Istra : ainsi, voici celle d’Andrienique qui est située depuis quelque temps près de Raguse dans un moulin, au moment d’essuyer ces objets""]"
