"doc	label_net";;
"1895_Lermina-Jules_L-enigme.txt_chunk_0	";OTHER;La femme orpheline arrivée, mais elle a un comportement étrange et ne s'adapte pas à nouvel environnement.
"1895_Lermina-Jules_L-enigme.txt_chunk_1	";OTHER;M. de Morlaines avoue son amour mais la femme orpheline n'est pas intéressée et ce qui crée des tensions
"1895_Lermina-Jules_L-enigme.txt_chunk_2	";OTHER;Le lieutenant rentre chez lui et tombe amoureux de Marie.
"1895_Lermina-Jules_L-enigme.txt_chunk_3	";OTHER;Les gens commencent à enquêter sur la mort de M. de Morlaines et soupçonnent Marie.
"1895_Lermina-Jules_L-enigme.txt_chunk_4	";OTHER;Le chien donne lieu à des soupçons sur le meurtre de Marie
"1895_Lermina-Jules_L-enigme.txt_chunk_5	";OTHER;Germaine est emprisonnée pour ne pas blesser Madame de Morlaines
"1895_Lermina-Jules_L-enigme.txt_chunk_6	";OTHER;Le fils revient après avoir appris la mort de son père et commence à élucider le meurtre
"1895_Lermina-Jules_L-enigme.txt_chunk_7	";OTHER;Le fils revient après avoir appris la mort de son père et commence à élucider le meurtre
"1895_Lermina-Jules_L-enigme.txt_chunk_8	";OTHER;Le fils revient après avoir appris la mort de son père et commence à élucider le meurtre
"1895_Lermina-Jules_L-enigme.txt_chunk_9	";OTHER;Le fils revient après avoir appris la mort de son père et commence à élucider le meurtre
"1895_Lermina-Jules_L-enigme.txt_chunk_10	";OTHER;Le fils revient après avoir appris la mort de son père et commence à élucider le meurtre
"1895_Lermina-Jules_L-enigme.txt_chunk_11	";OTHER;Le fils commence à élucider le meurtre
"1895_Lermina-Jules_L-enigme.txt_chunk_12	";OTHER;Le fils commence à élucider le meurtre
"1895_Lermina-Jules_L-enigme.txt_chunk_13	";OTHER;Le fils commence à élucider le meurtre
"1895_Lermina-Jules_L-enigme.txt_chunk_14	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_15	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_16	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_17	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_18	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_19	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_20	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_21	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_22	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_23	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_24	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_25	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_26	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_27	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_28	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_29	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_30	";;
"1895_Lermina-Jules_L-enigme.txt_chunk_31	";;
