"doc	label_net";
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_0;Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_1	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_2	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_3	";Danger
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_4	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_5	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_6	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_7	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_8	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_9	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_10	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_11	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_12	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_13	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_14	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_15	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_16	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_17	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_18	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_19	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_20	";Danger
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_21	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_22	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_23	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_24	";Other
"1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_25	";Danger
