"doc	label_net";;;;;
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_0	";;;;;exploration 
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_1	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_2	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_3	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_4	";;;;;danger
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_5	";;;;;danger
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_6	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_7	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_8	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_9	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_10	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_11	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_12	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_13	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_14	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_15	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_16	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_17	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_18	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_19	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_20	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_21	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_22	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_23	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_24	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_25	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_26	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_27	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_28	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_29	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_30	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_31	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_32	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_33	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_34	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_35	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_36	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_37	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_38	";;;;;danger
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_39	";;;;;danger
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_40	";;;;;danger
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_41	";;;;;danger
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_42	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_43	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_44	";;;;;other
"1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_45	";;;;;other
