doc	label_net;;;;;;;
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_0	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_1	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_10	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_11	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_12	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_13	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_14	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_15	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_16	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_17	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_18	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_19	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_2	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_20	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_21	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_22	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_23	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_24	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_25	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_26	;;;;;;;OTHER
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_27	;;;;;;;OTHER
