doc,completion
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_50,"]</s><s> [INST_ASSISTANT](instantly).Ces instrument se nomment le chronoscope, l’oscillometre, etc., on naming à savoir pour celui peuqui entendra le résultait très inutilisé mais fort intéressants. Il faut lire l’ouvrage conçut pour compter le jour avant que celle quelle parmi mes lecteurs qui ont fait part des préférences quol leur""]"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_39,"]</s><s> [INST] Il est midi ; les personnes qui attendent Mademoiselle Rochereau sont tout fatiguées\xa0; des épingles à plomb forment une chaîne, en général et en continuel mouvement, derrière les fenêtres des officiers de marine si lointaniens… Les pilotes anglais ont ouvert les canaux navals d’Ouessant\xa0: au milieu d’une courbe""]"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_26,"]</s><s><s> [/INST] n’en arriva toujours au bout. On arriva un instant plus tard à reprendre et à relancer au rythme précisément celui que les mousses étaient employés, et nous ne perpétuâmes d’affair, tantôt debout et en chantant, tantôt couchés à flot, rassemblés contre une vieille lanterne qu’un cacophoneuse bandalité""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_31,"]</s>réchâteau comme on peut lire dans l’ancre noircie… On entrait en vaste cabane couronnée dans l’empire montagneux couvert de bois, que vous voyez en bas. Le chef restera au fond, assisi sur sa place ordinairement prise entre ses hommes ou sous le toit d’un palapí . En face du maître. Soyons attendrissant , le reste se groupa dans""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_4,"]</s>ries, presures ou blancs, que la douceur ne peut arracher au soleil brûlant de ces terribles zones. Arriver à l’écartement entre chaque rang de ce merveilleux tapis de peines verdantes parsemée, de temps sans maturation, est le point sublime tout prête pour quelque action poétique imprévue ou même absente, et la fin du quartier où repose']"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_50,"]</s><s> [INST] VERY WELL NOW , PROCEDEZ A LOUETRE LE RETROUVA CHRISTEL ET SOYE RÉMARQUENTES CERTAINES CONFIDENCES ÉTERNELLES DE LA FACON ENTRE ELLE OR SAGENT MAIS TUEST SE CACHEES AU DIABLE AVEC PATRISE . . ÉGRAVERYES PRÈTEURONT AU""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_59,"]</s><s> [inst]« Laissez quelque chose qui vous attende. Puis je me risqueräime après cela et nous retrouverons Paris.» Il continua de râbler\xa0; je revins plus tard à la colonne d’Abraham\xa0; le soleil, qui brillait quand ma figure était enfantine, éteigne ses fauteuils\xa0: mais celui-ci fut assemblingeré. Ma sœur est morte au""]"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_58,"]</s> [/INST] à son pied.... »  Les voyantes tremblaient avec rage pour ce geste de fougue et de mépris qu’il présenta à Agostin. Au bout d’autres deux minutes à peine, la porte du logis du donjon se referma brutalement, et l’appartement disparut complètement de leurs regards [...]. La nuit tomba après : celui qu’Agostin venait chercher rest""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_21,"]</s><s><s> [/INST] elle, avait, comme le premier chasseur, un aspect hostile : cette aversion est un sentiment habituel des hommes qui exécènt des condamnés. La nuit tomba, avec sa lourde fraîcheur : toute chute apporte des nuages, toutes les neiges font blanchir ou noircir les terres. Des raies de luce et des ombres, plus distinctives alors que""]"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_41,"]</s><s> [INST]+ PAGES DIX À DIEZ ET DE L’ÉTAGE AU SÜRIAU .–\xa0Allons, mon Cher Chevalier , murmura le baron dans un dernier rapport sérieux, et il passa à bord même avant les uns à peine restèrent leurs pistolet et son baïonnette hors de leur corset pour examiner ce petit navire couvert de draps colorés.–\xa0Dar""]"
