doc,label
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_49,[OTHER] 
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_170,OTHER. The scene
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_33,TEXT: [OT
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_105,"ot; OTHER
This"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_173,"{OTHER}
"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_119,"[OTHER]
"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_238,[EXPLORATION
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_50,[EXPLORATION
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_51,"otHER>
This"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_198,[EXPLORATION
1895_Lermina-Jules_L-enigme.txt_chunk_1,"ot; OTHER
This"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_189,"ot; OTHER

"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_14,[OTHER]: The
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_86,"ot; OTHER
This"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_81,"[OTHER]
"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_40,ef{OTHER}
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_48,DANGER>
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_63,"OTHER

This"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_5,"boston, he had"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_135, [OTHER]: The
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_153," Otthero

"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_128,"ot; OTHER
The"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_2,ef{OTHER}
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_265,"OTHER\]

"
1895_Lermina-Jules_L-enigme.txt_chunk_17,ot; [OTHER
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_127," Otther 
This"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_110,ot; The scene describes
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_56,"ot; OTHER

"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_218,": OTHER
Helper:"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_154,"ot; OTHER

"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_170,otHER[/ The
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_81,"[OTHER]
"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_31,OTHER[/ The
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_110,ot; this scene can
1895_Lermina-Jules_L-enigme.txt_chunk_4,ef{OTHER}
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_208,: [OTHER]
1895_Lermina-Jules_L-enigme.txt_chunk_11,ot; The scene can
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_21,[OTHER] The
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_168,"ot; OTHER

"
1895_Lermina-Jules_L-enigme.txt_chunk_19,p> [OTHER
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_2,[ OTHER] The scene
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_120,OTHER. The scene
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_166,[EXPLORATION
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_169,OTHER\] The scene
